archivo.html;antiguo;nuevo;tono
hoy_vuelvo_de_lejos.html;138;K38;Lam cej3
huracan.html;-;K39;Do
iglesia_soy.html;142;K40;Do cej1
iluminame,_señor.html;141;K41;Rem
jesus,_amigo.html;-;K42;Lam cej2
jesus,_nuestra_pascua.html;144;K43;Do
jesus,_ven_tu.html;-;K44;Mi
juntos_cantemos_hoy.html;143;K45;Do
mirad_al_suelo.html;166;K46;Re
necesitamos_comer_tu_pan.html;175;K47;Mi
nadie_te_ama_como_yo.html;439;K48;Do
no_me_mueve.html;441;K49;Do
no_podemos_caminar_(hambre_de_dios).html;-;K50;Mi
no_temas.html;-;K51;Mi cej1
oracion_del_pobre.html;443;K52;Lam cej2
para_el_que_sabe.html;445;K53;La
pescador_de_hombres.html;313;K54;Do cej2
principio_y_fundamento.html;-;K55;Do
protegeme,_dios_mio.html;202;K56;Do
pueblo_mio.html;205;K57;Lam cej1
purificame,_señor.html;211;K58;Sol
que_tendra_lo_pequeño.html;217;K59;Re
que_tu_palabra_nos_cambie_el_corazon.html;-;K60;Re
quedate_con_nosotros.html;222;K61;Mim
quien_nos_separara.html;-;K62;Re
quiero_ser_pan.html;-;K63;Re
resucito,_aleluya.html;225;K64;Mim
se_acerca_tu_navidad.html;233;K65;Do
si_dios_a_su_mesa_nos_quiere_sentar.html;235;K66;Do
si_me_falta_el_amor.html;-;K67;La
sois_la_semilla.html;241;K68;Do
somos_un_pueblo_que_camina.html;237;K69;La
tan_cerca_de_mi.html;463;K70;Do
tanto_amo_dios_al_mundo.html;-;K71;Mi
tomad,_comed.html;-;K72;Re
tengo_que_gritar.html;255;K73;Lam cej5
todos_unidos.html;266;K74;Do cej2
tomado_de_la_mano.html;310;K75;Sol
tu_eres_capaz.html;465;K76;Sol cej3
tu_eres_el_dios_que_nos_salva.html;262;K77;Re
tu_nos_dijiste_que_la_muerte.html;251;K78;Re
una_tarde_en_la_playa.html;-;K79;Re cej2
victoria,_tu_reinaras.html;286;K80;La cej3
volar.html;473;K81;Do cej2
yo_soy_el_pan_de_vida.html;477;K82;Sol
siempre_en_ti.html;-;K83;Mi
anunciaremos_tu_reino,_señor.html;22;L01;Rem
gracias,_señor.html;427;L02;Do
hoy_el_señor_resucito.html;139;L03;Do cej2
hoy,_señor,_te_damos_gracias.html;140;L04;Mi
lo_que_hemos_visto_y_oido.html;152;L05;Sol
por_ti,_mi_dios.html;203;L06;La
que_sea_mi_vida_la_sal.html;-;L07;Do
vaso_nuevo.html;470;L08;Do cej2
vive_tu_amor_en_mi.html;472;L09;Re
a_ti_que_eres_el_signo.html;31;M01;Do
maria_de_nazaret.html;-;M10;Do cej5
maria,_la_madre_buena.html;433;M11;Lam cej2
maria,_madre_nuestra.html;434;M12;Do
maria,_maria.html;-;M13;Re
maria,_mirame.html;435;M14;Sol
maria,_musica_de_dios.html;436;M15;Do cej2
mujer_fuerte.html;42;M16;Re cej2
quiero_caminar_contigo,_maria.html;-;M17;Re
salve,_madre.html;-;M18;Do cej2
reina_del_cielo.html;227;M19;La
ave_maria.html;-;M02;Sol cej2
salve,_regina.html;-;M20;Re cej2
santa_maria_del_camino.html;164;M21;Do
siempre_estuviste_aqui_(almudena).html;-;M22;Sib
unidos_a_todos_los_pueblos.html;-;M23;Re
yo_cantare_(magnificat).html;474;M24;Re
dulce_muchacha_humilde_de_palestina.html;-;M03;Do cej2
fuente_de_paz_y_fidelidad.html;-;M04;Lam
hagase.html;428;M05;Do cej2
himno_a_nuestra_señora_de_la_almudena.html;430;M06;Re
junto_a_ti,_maria.html;-;M07;Re
la_virgen_sueña_caminos.html;432;M08;Mi
madre_de_todos_los_hombres.html;163;M09;Lam cej3
bendigamos_al_señor.html;411;N01;Mi cej1
el_espiritu_de_dios_(33_el_musical).html;-;N02;Do
el_señor_os_dara_su_espiritu_santo.html;-;N03;Sim
ven,_espiritu_de_dios_(kairoi).html;-;N04;Fa
tui_amoris.html;-;N05;Lam
a_belen_se_va_y_se_viene.html;1;O01;Fa
hoy_en_la_tierra.html;-;O10;Sol
los_magos_vienen_de_oriente.html;158;O11;Do
nace_el_niño_en_un_portal.html;-;O12;Re
navidad,_navidad.html;-;O13;Do
navidad,_es_navidad.html;-;O14;Re
noche_de_paz.html;-;O15;La
nunca_suenan_las_campanas.html;-;O16;Re
pastores,_venid.html;-;O17;Rem
vivid_la_navidad.html;171;O18;Mi
venid,_fieles_todos_(adeste_fideles).html;289;O19;Do
alegria,_alegria,_alegria.html;-;O02;La
ya_vienen_los_reyes_magos.html;-;O20;Fa
